image_id,class,score,xmin,ymin,xmax,ymax,width,height
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,bus,0.99,457,621,680,1002,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,three wheelers (CNG),0.74,393,867,416,899,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,bus,0.55,296,858,330,915,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,minivan,0.41,149,858,223,940,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,three wheelers (CNG),0.41,297,855,331,917,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,suv,0.37,150,857,225,939,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,pickup,0.33,297,858,331,917,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,van,0.32,149,858,224,940,1024,1024
sabiha(293)_jpg.rf.c77bb8cf2a094a91b11f90265cd50ae8.jpg,pickup,0.31,335,859,357,892,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,three wheelers (CNG),0.87,323,641,359,709,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,three wheelers (CNG),0.76,581,641,644,712,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,pickup,0.71,465,602,526,706,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,auto rickshaw,0.50,362,638,407,719,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,truck,0.47,465,589,528,704,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,three wheelers (CNG),0.40,362,637,406,720,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,auto rickshaw,0.38,323,639,359,710,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,human hauler,0.32,300,644,325,692,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,three wheelers (CNG),0.32,300,645,327,691,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,bus,0.31,465,585,531,706,1024,1024
sabiha(300)_jpg.rf.5c95cec0762afb2c66e8e438911788b4.jpg,minivan,0.30,583,639,645,712,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,three wheelers (CNG),0.76,182,703,272,865,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,car,0.76,777,706,995,877,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,bus,0.68,416,642,499,812,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,auto rickshaw,0.57,278,726,304,767,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,bus,0.46,8,449,195,1002,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,three wheelers (CNG),0.44,278,725,304,765,1024,1024
sabiha(297)_jpg.rf.3cd624e290aeffc04e9f4e4f7e2cf869.jpg,pickup,0.39,419,642,501,803,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,bus,0.99,452,589,649,980,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,car,0.88,841,827,898,870,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,three wheelers (CNG),0.84,405,828,434,867,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,three wheelers (CNG),0.79,309,821,347,882,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,three wheelers (CNG),0.69,69,797,150,997,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,three wheelers (CNG),0.51,203,830,260,895,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,motorbike,0.41,76,779,155,1002,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,suv,0.36,204,829,260,893,1024,1024
sabiha(292)_jpg.rf.1918842e4b4e3f3fa3094e3abf5c42a9.jpg,rickshaw,0.34,68,795,151,1008,1024,1024
